Latitude,Longitude,Name,Rating,Address
21.176236899999999,72.818593800000002,Majura Fire Station,4.300000000000000,"NX-1, Ghod Dod Rd"
21.183811200000001,72.861626799999996,Dumbhal Fire Station,4.600000000000000,"5VM6+GMC, Model town Rd,opp-vatika town ship Nr.Limbayat"
21.184195599999999,72.835470999999998,Man Darwaja Fire Station,4.100000000000000,"1, Ring Rd"
21.189686800000000,72.826975399999995,Navsari Bazar Fire Station,4.600000000000000,"131, Kotsafil Main Rd"
21.222137499999999,72.832838199999998,Katargam Fire Station & Staff Quarters,4.800000000000000,"6RCM+P7M, Katargam Road, near to the Dholakiya garden"
21.220485400000001,72.874903300000000,Kapodra Fire Station,3.600000000000000,"112, Surat - Kamrej Hwy"
21.227291200000000,72.906732599999998,Sarthana Fire Station,5.000000000000000,nr. Harekrishna Campus
21.198602699999999,72.831518399999993,Ghanchi Seri Fire Station,4.400000000000001,"Ghanchi Street Number 2, Tower Rd"
36.797231300000000,-86.815063899999998,Fire Station,4.800000000000000,"4QRJ+PJH, VIP Road"
39.177490300000002,-8.866298000000000,Fire Station,4.700000000000000,"6V4Q+R29, Unnamed Road"
21.185152700000000,72.794709100000006,Adajan Fire Station,5.000000000000000,"Royal Trade Centre, Hazira - Adajan Rd, nr. Pandit Deendayal Upadhyay Cable Stayed Bridge"
21.202118899999999,72.867270300000001,Fire station varachha,2.300000000000000,6R7X+FQC
21.204884300000000,72.767363900000007,Palanpore Fire Station,4.500000000000000,"T.P - 9, Palanpor Gam Road Opp.Orchid Harmony, Gaurav Path Road"
36.797231300000000,-86.815063899999998,Fire station,4.300000000000000,"3WM8+HP8, Rd Number 17"
21.130258300000001,72.854501900000002,Bhestan Fire Station,4.600000000000000,4RHX+4P3
39.731091300000003,-8.786698400000002,Fire Station,,6QRQ+CW8
21.139952600000001,72.844593799999998,Pandesra Fire Station,5.000000000000000,4RQV+XRQ
21.221603699999999,72.788748499999997,Morabhagal Fire Station,1.000000000000000,"22, Gymkhana Rd"
36.797231300000000,-86.815063899999998,Ambika Fatakada,4.600000000000000,GJ SH 169
36.797231300000000,-86.815063899999998,New Fire Bridage Station,,"WWX9+WQP, स्टेशन मार्ग, Rani Talo Dunger Kuwa St"
36.797231300000000,-86.815063899999998,Fire Station,4.000000000000000,5XG9+HGQ
21.152137400000001,72.871745799999999,Dindoli Fire Station,4.500000000000000,Deladva Rd
21.167950900000001,72.735378699999998,Bhatpore GIDC Fire Station,4.300000000000000,5P9P+G56
36.797231300000000,-86.815063899999998,Fire Station,3.500000000000000,"95WH+C7V, South Side Road"
36.797231300000000,-86.815063899999998,Fire Station,4.500000000000000,"Karoad Road, Surat District, beside Shree"
36.797231300000000,-86.815063899999998,Fire Brigade Station,4.800000000000000,"WWXH+JF9 Dudhiya Talav, Indise Gandhi Market, Near Ramji Mandir, opposite Eye Hospital"
36.797231300000000,-86.815063899999998,RIL- DMD Main Fire Station,2.000000000000000,MHRG+2FQ
21.174995599999999,72.724286199999995,Fire Water Pump House IBP Hazira Terminal,3.300000000000000,IBP Hazira Terminal
36.797231300000000,-86.815063899999998,Fire Station,4.200000000000000,"85W8+J3X, 2, Indu Chacha Ln"
36.797231300000000,-86.815063899999998,Fire Station,4.800000000000000,"18, Silvassa - Vapi Rd"
36.797231300000000,-86.815063899999998,Fire department main office VMC,,75XW+J3W
36.797231300000000,-86.815063899999998,Fire Brigade Office,4.300000000000000,XQVP+CGP
36.797231300000000,-86.815063899999998,Fire Sation,,8578+VJ4
21.150257600000000,72.824960700000005,,,
21.263095799999999,72.836125999999993,,,
21.206035600000000,72.823421499999995,,,
21.200816100000001,72.804018200000002,,,
